A004310,현대약품,1
A004360,세방,1
A004365,세방우,1
A004370,농심,1
A004380,삼익THK,1
A004410,서울식품,1
A004415,서울식품우,1
A004430,송원산업,1
A004440,삼일씨엔에스,1
A004450,삼화왕관,1
A004490,세방전지,1
A004540,깨끗한나라,1
A004545,깨끗한나라우,1
A004560,현대비앤지스틸,1
A004565,현대비앤지스틸우,1
A004690,삼천리,1
A004700,조광피혁,1
A004710,한솔테크닉스,1
A004720,팜젠사이언스,1
A004770,써니전자,1
A004800,효성,1
A004830,덕성,1
A004835,덕성우,1
A004840,DRB동일,1
A004870,티웨이홀딩스,1
A004890,동일산업,1
A004910,조광페인트,1
A004920,씨아이테크,1
A004960,한신공영,1
A004970,신라교역,1
A004980,성신양회,1
A004985,성신양회우,1
A004990,롯데지주,1
A00499K,롯데지주우,1
A005010,휴스틸,1
A005030,부산주공,1
A005070,코스모신소재,1
A005090,SGC에너지,1
A005110,한창,1
A005180,빙그레,1
A005250,녹십자홀딩스,1
A005257,녹십자홀딩스2우,1
A005300,롯데칠성,1
A005305,롯데칠성우,1
A005320,국동,1
A005360,모나미,1
A005380,현대차,1
A005385,현대차우,1
A005387,현대차2우B,1
A005389,현대차3우B,1
A005390,신성통상,1
A005420,코스모화학,1
A005430,한국공항,1
A005440,현대그린푸드,1
A005490,POSCO,1
A005500,삼진제약,1
A005610,SPC삼립,1
A005680,삼영전자,1
A005690,파미셀,1
A005720,넥센,1
A005725,넥센우,1
A005740,크라운해태홀딩스,1
A005745,크라운해태홀딩스우,1
A005750,대림B&Co,1
A005800,신영와코루,1
A005810,풍산홀딩스,1
A005820,원림,1
A005830,DB손해보험,1
A005850,에스엘,1
A005870,휴니드,1
A005880,대한해운,1
A005930,삼성전자,1
A005935,삼성전자우,1
A005940,NH투자증권,1
A005945,NH투자증권우,1
A005950,이수화학,1
A005960,동부건설,1
A005965,동부건설우,1
A006040,동원산업,1
A006060,화승인더,1
A006090,사조오양,1
A006110,삼아알미늄,1
A006120,SK디스커버리,1
A006125,SK디스커버리우,1
A006200,한국전자홀딩스,1
A006220,제주은행,1
A006260,LS,1
A006280,녹십자,1
A006340,대원전선,1
A006345,대원전선우,1
A006360,GS건설,1
A006370,대구백화점,1
A006380,카프로,1
A006390,한일현대시멘트,1
A006400,삼성SDI,1
A006405,삼성SDI우,1
A006490,인스코비,1
A006570,대림통상,1
A006650,대한유화,1
A006660,삼성공조,1
A006740,영풍제지,1
A006800,미래에셋증권,1
A006805,미래에셋증권우,1
A00680K,미래에셋증권2우B,1
A006840,AK홀딩스,1
A006880,신송홀딩스,1
A006890,태경케미컬,1
A006980,우성사료,1
A007070,GS리테일,1
A007110,일신석재,1
A007120,미래아이앤지,1
A007160,사조산업,1
A007210,벽산,1
A007280,한국특강,1
A007310,오뚜기,1
A007340,디티알오토모티브,1
A007460,에이프로젠 MED,1
A007540,샘표,1
A007570,일양약품,1
A007575,일양약품우,1
A007590,동방아그로,1
A007610,선도전기,1
A007630,폴루스바이오팜,1
A007660,이수페타시스,1
A007690,국도화학,1
A007700,F&F홀딩스,1
A007810,코리아써키트,1
A007815,코리아써우,1
A00781K,코리아써키트2우B,1
A007860,서연,1
A007980,태평양물산,1
A008040,사조동아원,1
A008060,대덕,1
A00806K,대덕1우,1
A008110,대동전자,1
A008250,이건산업,1
A008260,NI스틸,1
A008350,남선알미늄,1
A008355,남선알미우,1
A008420,문배철강,1
A008490,서흥,1
A008500,일정실업,1
A008560,메리츠증권,1
A008600,윌비스,1
A008700,아남전자,1
A008730,율촌화학,1
A008770,호텔신라,1
A008775,호텔신라우,1
A008870,금비,1
A008930,한미사이언스,1
A008970,동양철관,1
A009070,KCTC,1
A009140,경인전자,1
A009150,삼성전기,1
A009155,삼성전기우,1
A009160,SIMPAC,1
A009180,한솔로지스틱스,1
A009190,대양금속,1
A009200,무림페이퍼,1
A009240,한샘,1
A009270,신원,1
A009275,신원우,1
A009290,광동제약,1
A009310,참엔지니어링,1
A009320,대우부품,1
A009410,태영건설,1
A009415,태영건설우,1
A009420,한올바이오파마,1
A009440,KC그린홀딩스,1
A009450,경동나비엔,1
A009460,한창제지,1
A009470,삼화전기,1
A009540,한국조선해양,1
A009580,무림P&P,1
A009680,모토닉,1
A009770,삼정펄프,1
A009810,엔케이물산,1
A009830,한화솔루션,1
A009835,한화솔루션우,1
A009900,명신산업,1
A009970,영원무역홀딩스,1
A010040,한국내화,1
A010050,우리종금,1
A010060,OCI,1
A010100,한국프랜지,1
A010120,LS ELECTRIC,1
A010130,고려아연,1
A010140,삼성중공업,1
A010145,삼성중공우,1
A010400,우진아이엔에스,1
A010420,한솔PNS,1
A010580,지코,1
A010600,웰바이오텍,1
A010620,현대미포조선,1
A010640,진양폴리,1
A010660,화천기계,1
A010690,화신,1
A010770,평화홀딩스,1
A010780,아이에스동서,1
A010820,퍼스텍,1
A010950,S-Oil,1
A010955,S-Oil우,1
A010960,삼호개발,1
A011000,진원생명과학,1
A011070,LG이노텍,1
A011090,에넥스,1
A011150,CJ씨푸드,1
A011155,CJ씨푸드1우,1
A011170,롯데케미칼,1
A011200,HMM,1
A011210,현대위아,1
A011230,삼화전자,1
A011280,태림포장,1
A011300,성안,1
A011330,유니켐,1
A011390,부산산업,1
A011420,갤럭시아에스엠,1
A011500,한농화성,1
A011690,와이투솔루션,1
A011700,한신기계,1
A011760,현대코퍼레이션,1
A011780,금호석유,1
A011785,금호석유우,1
A011790,SKC,1
A011810,STX,1
A011930,신성이엔지,1
A012030,DB,1
A012160,영흥,1
A012170,아센디오,1
A012200,계양전기,1
A012205,계양전기우,1
A012280,영화금속,1
A012320,경동인베스트,1
A012330,현대모비스,1
A012450,한화에어로스페이스,1
A012510,더존비즈온,1
A012600,센트럴인사이트,1
A012610,경인양행,1
A012630,HDC,1
A012690,모나리자,1
A012750,에스원,1
A012800,대창,1
A013000,세우글로벌,1
A013360,일성건설,1
A013520,화승코퍼레이션,1
A013570,디와이,1
A013580,계룡건설,1
A013700,까뮤이앤씨,1
A013870,지엠비코리아,1
A013890,지누스,1
A014130,한익스프레스,1
A014160,대영포장,1
